1170.777635, 4.721729, 932.905395, 233.150511: ns per cell total, react, vel_step, dens_step
1174.187346, 4.703257, 935.855998, 233.628091: ns per cell total, react, vel_step, dens_step
1165.241676, 4.664366, 928.590618, 231.986692: ns per cell total, react, vel_step, dens_step
1165.654389, 4.803231, 930.210091, 230.641067: ns per cell total, react, vel_step, dens_step
1166.034361, 4.663879, 929.776035, 231.594446: ns per cell total, react, vel_step, dens_step
1171.459884, 4.723398, 934.200533, 232.535953: ns per cell total, react, vel_step, dens_step
1166.293275, 4.661954, 930.689016, 230.942305: ns per cell total, react, vel_step, dens_step
1164.307896, 4.659197, 928.910633, 230.738066: ns per cell total, react, vel_step, dens_step
1166.603076, 4.659836, 930.791966, 231.151275: ns per cell total, react, vel_step, dens_step
1171.402930, 4.681971, 934.077042, 232.643918: ns per cell total, react, vel_step, dens_step
1162.493930, 4.727194, 926.503824, 231.262912: ns per cell total, react, vel_step, dens_step
1162.206035, 4.659836, 926.541962, 231.004237: ns per cell total, react, vel_step, dens_step
1160.477288, 4.661228, 924.831183, 230.984877: ns per cell total, react, vel_step, dens_step
1165.438506, 4.661086, 928.279929, 232.497491: ns per cell total, react, vel_step, dens_step
1162.359433, 4.666759, 926.978211, 230.714462: ns per cell total, react, vel_step, dens_step
1162.608008, 4.659864, 927.105021, 230.843123: ns per cell total, react, vel_step, dens_step
1164.201169, 4.660074, 927.114719, 232.426375: ns per cell total, react, vel_step, dens_step
1173.412867, 4.657376, 938.470115, 230.285376: ns per cell total, react, vel_step, dens_step
1161.020780, 4.664577, 926.427969, 229.928234: ns per cell total, react, vel_step, dens_step
1156.228449, 4.777576, 921.398813, 230.052059: ns per cell total, react, vel_step, dens_step
1157.458956, 4.659893, 922.842333, 229.956730: ns per cell total, react, vel_step, dens_step
1157.312329, 4.708054, 922.687638, 229.916637: ns per cell total, react, vel_step, dens_step
1160.963644, 4.661562, 925.872578, 230.429504: ns per cell total, react, vel_step, dens_step
1157.698091, 4.665968, 921.836454, 231.195668: ns per cell total, react, vel_step, dens_step
1159.458383, 4.682409, 921.865932, 232.910041: ns per cell total, react, vel_step, dens_step
1158.070014, 4.661734, 923.043578, 230.364702: ns per cell total, react, vel_step, dens_step
1159.212974, 4.663364, 924.348691, 230.200918: ns per cell total, react, vel_step, dens_step
1157.741254, 4.670221, 922.756045, 230.314987: ns per cell total, react, vel_step, dens_step
1158.844474, 4.661629, 922.840922, 231.341923: ns per cell total, react, vel_step, dens_step
1164.525181, 4.665958, 929.901033, 229.958189: ns per cell total, react, vel_step, dens_step
1161.323208, 4.661018, 925.531353, 231.130836: ns per cell total, react, vel_step, dens_step
1156.884034, 4.666007, 922.266151, 229.951876: ns per cell total, react, vel_step, dens_step
1158.180926, 4.656603, 923.121999, 230.402325: ns per cell total, react, vel_step, dens_step
1160.903420, 4.660484, 925.366930, 230.876005: ns per cell total, react, vel_step, dens_step
1161.384605, 4.660790, 924.258197, 232.465619: ns per cell total, react, vel_step, dens_step
1156.308424, 4.658796, 921.606094, 230.043533: ns per cell total, react, vel_step, dens_step
1159.092888, 4.660942, 924.375595, 230.056351: ns per cell total, react, vel_step, dens_step
1160.124743, 4.663193, 921.803352, 233.658198: ns per cell total, react, vel_step, dens_step
1158.459456, 4.663833, 922.899601, 230.896023: ns per cell total, react, vel_step, dens_step
1160.044750, 4.664796, 925.356849, 230.023106: ns per cell total, react, vel_step, dens_step
